epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,101.672,1.22459,1.59432,1.81675,0.00498,2.35424,0.86972,0.79677,0.86769,0.66669,0.86888,0.796,0.86783,0.64783,1.14716,nan,nan,0.01181,0,0.000663522,0.000663522,0.000663522
2,198.79,1.38944,1.62819,1.05286,0.00619,1.62907,0.86454,0.77123,0.84995,0.61209,0.86454,0.77123,0.8509,0.62246,1.24712,1.66269,1.20544,0.01154,0,0.00130385,0.00130385,0.00130385
3,294.104,1.43684,1.67677,1.03673,0.00642,1.61489,0.4397,0.06733,0.07032,0.03922,0.43471,0.06656,0.06866,0.03954,nan,nan,nan,nan,0,0.00191778,0.00191778,0.00191778
4,389.008,1.4237,1.59152,0.99432,0.00637,1.4684,0.90804,0.76205,0.86382,0.65124,0.90713,0.76129,0.86093,0.66201,1.11825,1.43731,0.97029,0.01089,0,0.0018812,0.0018812,0.0018812
5,483.957,1.33638,1.51131,0.89306,0.00587,1.39996,0.91008,0.82096,0.88317,0.65801,0.90945,0.82096,0.88729,0.69119,1.12802,1.39548,0.8903,0.01056,0,0.0018416,0.0018416,0.0018416
6,578.862,1.29745,1.49953,0.85199,0.00568,1.31693,0.89646,0.79112,0.86291,0.66541,0.89331,0.78806,0.85771,0.65405,nan,nan,nan,nan,0,0.001802,0.001802,0.001802
7,673.705,1.26606,1.44037,0.81645,0.00552,1.22786,0.92418,0.84869,0.90991,0.72312,0.92428,0.84774,0.91415,0.74293,1.02186,1.16701,0.72984,0.00989,0,0.0017624,0.0017624,0.0017624
8,768.938,1.23434,1.41663,0.79371,0.00544,1.17962,0.94143,0.84861,0.90643,0.72655,0.94143,0.84861,0.91122,0.71595,1.03691,1.14975,0.66809,0.01081,0,0.0017228,0.0017228,0.0017228
9,864.01,1.19893,1.39413,0.7538,0.00515,1.10513,0.91624,0.82022,0.88896,0.70626,0.91228,0.8202,0.89757,0.69953,1.09052,1.26974,0.7396,0.01137,0,0.0016832,0.0016832,0.0016832
10,959.099,1.20164,1.37311,0.75291,0.0052,1.0985,0.93311,0.81116,0.89837,0.71043,0.92773,0.81526,0.90922,0.72787,1.06904,1.29604,0.84705,0.01114,0,0.0016436,0.0016436,0.0016436
11,1054.19,1.19597,1.36104,0.71156,0.00503,0.9689,0.91979,0.8423,0.91056,0.71076,0.91909,0.84308,0.91589,0.7072,1.02194,1.18714,0.69438,0.01058,0,0.001604,0.001604,0.001604
12,1149.11,1.18761,1.33484,0.70478,0.00499,0.98584,0.93555,0.8552,0.92602,0.75819,0.93639,0.85604,0.92687,0.75429,0.91309,1.16512,0.64891,0.00859,0,0.0015644,0.0015644,0.0015644
13,1244.05,1.17167,1.3301,0.68062,0.00487,0.96246,0.93935,0.84162,0.92291,0.74508,0.93764,0.84009,0.92566,0.72644,0.95331,1.14229,0.626,0.00955,0,0.0015248,0.0015248,0.0015248
14,1339.1,1.13203,1.31197,0.65466,0.00475,0.95061,0.94957,0.84999,0.92092,0.77604,0.95128,0.85152,0.9268,0.76173,0.87874,1.12342,0.65069,0.00897,0,0.0014852,0.0014852,0.0014852
15,1434.08,1.13339,1.30732,0.64443,0.00476,0.90105,0.94861,0.86458,0.93799,0.75746,0.94777,0.86381,0.94016,0.75091,0.97281,1.06944,0.56222,0.00993,0,0.0014456,0.0014456,0.0014456
16,1528.63,1.10749,1.27956,0.62633,0.00461,0.8896,0.95158,0.87213,0.93773,0.78406,0.95205,0.8684,0.94098,0.76777,0.87315,1.05169,0.59991,0.00912,0,0.001406,0.001406,0.001406
17,1623.19,1.10719,1.27962,0.62877,0.00451,0.88645,0.91654,0.86538,0.93016,0.74776,0.91897,0.86768,0.93339,0.73806,0.93535,1.09812,0.63783,0.00884,0,0.0013664,0.0013664,0.0013664
18,1717.68,1.10208,1.27382,0.61294,0.00454,0.81609,0.95742,0.84162,0.93578,0.76509,0.95633,0.84239,0.93461,0.76402,0.91741,1.07894,0.59305,0.00918,0,0.0013268,0.0013268,0.0013268
19,1812.04,1.09879,1.23947,0.60836,0.00462,0.81178,0.96204,0.87265,0.94102,0.78922,0.96204,0.87265,0.94906,0.77549,0.86735,0.97727,0.53225,0.00916,0,0.0012872,0.0012872,0.0012872
20,1906.44,1.0921,1.24427,0.58529,0.00445,0.79054,0.97115,0.8498,0.93497,0.78176,0.9696,0.85399,0.9372,0.76674,0.86542,1.11802,0.61184,0.00823,0,0.0012476,0.0012476,0.0012476
21,2000.88,1.0707,1.21256,0.56638,0.00437,0.75711,0.95813,0.85783,0.94009,0.79664,0.95269,0.86458,0.94399,0.78053,0.84068,1.00978,0.55686,0.00884,0,0.001208,0.001208,0.001208
22,2095.42,1.05596,1.21917,0.5638,0.0043,0.77094,0.96488,0.88289,0.95228,0.79951,0.96488,0.88289,0.95723,0.78745,0.83816,1.02152,0.53174,0.00858,0,0.0011684,0.0011684,0.0011684
23,2190.2,1.04797,1.20969,0.5421,0.00427,0.69589,0.94542,0.8879,0.94683,0.79647,0.94877,0.89266,0.95416,0.78888,0.8498,0.96718,0.51457,0.00884,0,0.0011288,0.0011288,0.0011288
24,2285.06,1.04093,1.18461,0.52484,0.00409,0.659,0.95801,0.87223,0.95464,0.80113,0.91804,0.91431,0.95871,0.80261,0.84287,0.92236,0.50634,0.00824,0,0.0010892,0.0010892,0.0010892
25,2379.65,1.03238,1.17476,0.54947,0.00425,0.74985,0.96404,0.86157,0.93612,0.79446,0.9649,0.86234,0.94633,0.77936,0.85464,1.01895,0.5672,0.00952,0,0.0010496,0.0010496,0.0010496
26,2474.09,1.02043,1.16884,0.52181,0.00408,0.65518,0.96285,0.89243,0.95751,0.81407,0.94595,0.91055,0.96012,0.79324,0.78516,0.92725,0.45601,0.0081,0,0.00101,0.00101,0.00101
27,2568.67,1.03085,1.17371,0.53782,0.0042,0.68956,0.93082,0.89564,0.95168,0.80605,0.9288,0.89828,0.95069,0.77918,0.79547,0.98709,0.54135,0.00789,0,0.0009704,0.0009704,0.0009704
28,2663.03,1.01372,1.15825,0.51301,0.00398,0.66294,0.95319,0.88807,0.96028,0.82141,0.93968,0.90588,0.96446,0.80183,0.79392,0.96739,0.46385,0.00771,0,0.0009308,0.0009308,0.0009308
29,2757.52,0.99339,1.1297,0.50716,0.00401,0.6358,0.94443,0.89723,0.95736,0.81049,0.93945,0.91278,0.95872,0.79627,0.81678,0.93466,0.47509,0.00846,0,0.0008912,0.0008912,0.0008912
30,2852.2,0.99552,1.13669,0.50178,0.00395,0.62262,0.95605,0.89594,0.95827,0.8218,0.94863,0.90207,0.95543,0.79487,0.7952,0.97714,0.47499,0.00824,0,0.0008516,0.0008516,0.0008516
31,2946.85,0.99332,1.13102,0.49212,0.0039,0.59335,0.9629,0.89367,0.96128,0.83066,0.9457,0.91951,0.96592,0.80817,0.75321,0.91245,0.45857,0.00729,0,0.000812,0.000812,0.000812
32,3041.18,0.96831,1.10693,0.47582,0.00377,0.55329,0.95961,0.90895,0.96582,0.83165,0.96461,0.91767,0.96852,0.81619,0.75576,0.8982,0.46155,0.00722,0,0.0007724,0.0007724,0.0007724
33,3135.79,0.96063,1.114,0.46042,0.00379,0.58073,0.95783,0.89901,0.95584,0.825,0.96101,0.90512,0.95611,0.79191,0.78961,0.96938,0.47095,0.00862,0,0.0007328,0.0007328,0.0007328
34,3230.15,0.96846,1.11446,0.45312,0.00375,0.54443,0.95589,0.90513,0.96296,0.84014,0.96053,0.91229,0.96549,0.81408,0.74811,0.8841,0.4167,0.00761,0,0.0006932,0.0006932,0.0006932
35,3324.87,0.95863,1.09216,0.44994,0.00372,0.51737,0.94406,0.91813,0.9634,0.83665,0.94214,0.91966,0.96403,0.80827,0.73531,0.93315,0.44363,0.00677,0,0.0006536,0.0006536,0.0006536
36,3419.37,0.94705,1.09332,0.44335,0.00363,0.52289,0.95484,0.90583,0.96143,0.83173,0.95207,0.91048,0.96344,0.80475,0.74067,0.87051,0.44483,0.00697,0,0.000614,0.000614,0.000614
37,3513.91,0.95098,1.07815,0.4413,0.00367,0.50172,0.93845,0.92152,0.96643,0.84668,0.94542,0.92779,0.96757,0.81665,0.73796,0.8665,0.42518,0.00734,0,0.0005744,0.0005744,0.0005744
38,3608.42,0.94305,1.0745,0.42932,0.00359,0.50746,0.95865,0.91201,0.96501,0.84115,0.96046,0.92926,0.9691,0.8145,0.76438,0.85712,0.42647,0.00795,0,0.0005348,0.0005348,0.0005348
39,3702.6,0.92908,1.05663,0.42399,0.00367,0.50008,0.94938,0.91834,0.96414,0.83841,0.9517,0.92655,0.96704,0.82116,0.74001,0.87351,0.43538,0.0075,0,0.0004952,0.0004952,0.0004952
40,3796.88,0.90944,1.03871,0.4119,0.00342,0.48403,0.944,0.92196,0.96745,0.84667,0.95662,0.91813,0.9682,0.81637,0.73014,0.85931,0.42788,0.00715,0,0.0004556,0.0004556,0.0004556
41,3892.15,0.86269,1.02841,0.35724,0.00406,0.36643,0.95368,0.90589,0.96607,0.84311,0.94452,0.92478,0.96834,0.82145,0.72379,0.85786,0.43807,0.00717,0,0.000416,0.000416,0.000416
42,3986.79,0.85435,1.00867,0.338,0.00396,0.33521,0.94504,0.92087,0.96979,0.85227,0.94622,0.92425,0.96754,0.8252,0.71944,0.86775,0.42063,0.00728,0,0.0003764,0.0003764,0.0003764
43,4081.31,0.83413,0.99486,0.32718,0.00386,0.32927,0.95172,0.92272,0.96837,0.85827,0.95504,0.92502,0.96938,0.82229,0.69947,0.85647,0.38938,0.00679,0,0.0003368,0.0003368,0.0003368
44,4175.73,0.83581,1.0009,0.32649,0.00383,0.32807,0.96123,0.92425,0.97173,0.85935,0.96388,0.92655,0.97274,0.82909,0.69049,0.81381,0.37933,0.00643,0,0.0002972,0.0002972,0.0002972
45,4270.19,0.82666,0.98209,0.31951,0.00381,0.32442,0.96164,0.92069,0.97151,0.85464,0.94971,0.93726,0.97181,0.82375,0.70981,0.847,0.39021,0.00722,0,0.0002576,0.0002576,0.0002576
46,4364.61,0.82493,0.98214,0.32033,0.00381,0.31874,0.95753,0.93142,0.97156,0.85913,0.95153,0.93803,0.97299,0.82596,0.70516,0.81934,0.40175,0.00714,0,0.000218,0.000218,0.000218
47,4459.03,0.81293,0.96953,0.31176,0.00375,0.30611,0.95592,0.92916,0.97067,0.85952,0.95226,0.93497,0.97133,0.82625,0.69817,0.81998,0.3729,0.00701,0,0.0001784,0.0001784,0.0001784
48,4553.51,0.81013,0.96813,0.30854,0.00377,0.31012,0.95436,0.92961,0.97062,0.86205,0.95334,0.93796,0.97224,0.82659,0.69615,0.80973,0.36167,0.00722,0,0.0001388,0.0001388,0.0001388
49,4648.07,0.80585,0.97012,0.30727,0.00362,0.30094,0.95501,0.92577,0.9705,0.86105,0.95972,0.92967,0.97296,0.82585,0.70617,0.81345,0.3741,0.00733,0,9.92e-05,9.92e-05,9.92e-05
50,4742.6,0.80323,0.97313,0.30905,0.0036,0.29809,0.94836,0.93879,0.97225,0.86307,0.95377,0.94415,0.97483,0.8272,0.69679,0.81165,0.36415,0.00738,0,5.96e-05,5.96e-05,5.96e-05
